index,HS-6 code,HS-10 code,MTI-6 code,소분류 품목명
482,851762,8517629030,811390,그 밖의 무선통신용
483,283324,2833240000,228900,황산니켈
484,720839,7208391000,613210,인장강도가 490메가파스칼 이상인 것
485,720839,7208399000,613210,기타
486,720826,7208261000,613210,인장강도가 490메가파스칼 이상인 것
487,720826,7208269000,613210,기타
488,901890,9018901000,814790,임신진단기
489,901890,9018902010,814790,레이저 작동식 기기
490,901890,9018902090,814790,기타
491,901890,9018903000,733100,산부인과용 기기
492,901890,9018904000,814760,"내시경(위내시경, 복막경, 방광경과 이와 유사한 것으로 한정한다)"
493,901890,9018905000,814770,인공신장기(인공신장기용 투석기를 포함한다)
494,901890,9018906000,814790,경피전기신경자극기
495,901890,9018907000,814790,수의과용 기기
496,901890,9018908010,814790,레이저 작동식 기기
497,901890,9018908090,814790,기타
498,901890,9018908110,814790,레이저 작동식 기기
499,901890,9018908190,814790,기타
500,901890,9018908900,814790,기타
501,901890,9018909000,814780,부분품과 부속품
502,901890,9018909080,814790,기타
503,901890,9018909090,814780,부분품과부속품
504,330790,3307901000,227330,탈모제
505,330790,3307902000,227390,향낭
506,330790,3307903000,227900,콘택트렌즈의 액이나 의안의 액
507,330790,3307904000,227390,마스크 팩
508,330790,3307909000,227390,기타
509,392062,3920620000,310310,폴리(에틸렌테레프탈레이트)로 만든 것
510,852349,8523491010,813700,컴퓨터 소프트웨어를 수록한 것
511,852349,8523491011,813700,컴퓨터소프트웨어를수록한것
512,852349,8523491020,822720,음성만을재생하는것
513,852349,8523491030,813700,비디오 녹화된 것
514,852349,8523491031,813700,"명령ㆍ데이타ㆍ음성ㆍ영상을재생하는것(자동자료처리기계에서이진법으로운영되고,사용자와상호연결이가능한것으로한정한다)"
515,852349,8523491039,813700,기타
516,852349,8523491040,822720,음성만을 기록한 것
517,852349,8523491090,813700,기타
518,852349,8523499010,813700,컴퓨터 소프트웨어를 수록한 것
